minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0962, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0865, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0962, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0962, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1875, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1779, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1827, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1346, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0192, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0192, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0192, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
