subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg,logdir
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.670379861405021,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6746592772634405,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6748477847952592,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6726528319873307,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.671345837022129,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.670894953765367,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.67096063337828,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6728234549886302,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6704284893838981,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6711525626872716,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6704578878063905,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6725668271905496,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6703823451933107,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6711874714023187,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6701472966294537,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6724525195987601,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
