subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
64,4,64,64,64,64,64,1e-05,13.428924560546875,False,Not Completed,NA
128,16,256,256,256,32,256,5e-05,778.4621276855469,False,Not Completed,NA
128,16,256,256,256,32,256,5e-05,778.4621276855469,False,Not Completed,NA
128,32,256,256,256,16,256,0.0001,806.0246276855469,False,Not Completed,NA
64,32,16,32,32,16,64,1e-05,4.833221435546875,False,Not Completed,NA
32,2,32,256,256,8,128,5e-05,101.46994018554688,False,Not Completed,NA
128,16,8,64,8,16,256,5e-05,2.370819091796875,False,Not Completed,NA
32,2,64,128,8,32,256,5e-05,35.926971435546875,False,Not Completed,NA
128,64,256,64,32,32,8,5e-05,105.27658081054688,False,Not Completed,NA
128,16,128,128,32,8,8,1e-05,75.64181518554688,False,Not Completed,NA
128,64,256,32,32,32,256,0.0001,44.692596435546875,False,Not Completed,NA
32,2,256,32,8,16,16,0.0001,10.116424560546875,False,Not Completed,NA
128,16,256,128,16,64,32,5e-05,140.77853393554688,False,Not Completed,NA
128,16,64,32,256,32,8,1e-05,10.864471435546875,False,Not Completed,NA
32,16,16,128,64,16,8,1e-05,12.387908935546875,False,Not Completed,NA
128,32,16,256,8,8,64,0.001,65.61935424804688,False,Not Completed,NA
128,64,256,16,16,16,8,0.0001,19.329803466796875,False,Not Completed,NA
32,2,8,256,16,32,256,0.0001,21.611541748046875,False,Not Completed,NA
32,4,128,16,256,8,128,0.001,9.449920654296875,False,Not Completed,NA
128,8,16,64,128,32,16,0.001,5.300018310546875,False,Not Completed,NA
64,16,256,16,64,8,256,0.001,6.692108154296875,False,Not Completed,NA
128,8,16,32,32,32,8,1e-05,1.387908935546875,False,Not Completed,NA
64,32,64,64,8,8,16,0.001,16.876190185546875,False,Not Completed,NA
128,16,16,256,32,32,128,0.001,39.622283935546875,False,Not Completed,NA
32,8,64,128,256,8,8,1e-05,65.20431518554688,False,Not Completed,NA
128,8,256,256,128,16,64,0.001,650.0246276855469,False,Not Completed,NA
32,2,8,256,8,64,32,1e-05,21.142303466796875,False,Not Completed,NA
128,16,8,256,16,32,8,0.001,21.861541748046875,False,Not Completed,NA
64,4,8,128,256,16,256,0.0001,10.473846435546875,False,Not Completed,NA
32,16,128,32,8,8,256,5e-05,5.356658935546875,False,Not Completed,NA
64,4,128,128,64,32,32,0.001,83.46603393554688,False,Not Completed,NA
32,2,8,128,64,8,8,0.0001,7.313690185546875,False,Not Completed,NA
32,16,32,32,64,8,8,0.001,2.623260498046875,False,Not Completed,NA
32,2,32,8,16,8,64,0.0001,0.281951904296875,False,Not Completed,NA
32,16,128,256,64,8,128,0.0001,295.1574401855469,False,Not Completed,NA
64,16,256,8,64,8,16,0.001,2.901336669921875,False,Not Completed,NA
128,32,16,64,128,16,16,1e-05,12.190643310546875,False,Not Completed,NA
64,32,256,32,256,16,64,0.001,45.106658935546875,False,Not Completed,NA
32,16,256,64,64,64,256,0.0001,50.399627685546875,False,Not Completed,NA
64,4,32,32,32,32,256,1e-05,2.152557373046875,False,Not Completed,NA
128,32,8,64,128,64,16,1e-05,10.147674560546875,False,Not Completed,NA
128,32,32,128,128,32,64,5e-05,40.606658935546875,False,Not Completed,NA
32,2,64,256,256,64,8,0.0001,197.97775268554688,False,Not Completed,NA
32,8,64,128,8,8,32,1e-05,34.094940185546875,False,Not Completed,NA
64,4,256,64,16,8,256,0.0001,38.319549560546875,False,Not Completed,NA
32,8,128,16,128,8,8,0.001,5.317596435546875,False,Not Completed,NA
128,64,8,8,16,8,64,1e-05,8.047088623046875,False,Not Completed,NA
