subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg
128,32,32,16,64,8,64,5e-05,2.824920654296875,False,Not Completed,NA
128,16,64,32,128,32,64,5e-05,6.808807373046875,False,Not Completed,NA
128,64,256,256,16,128,128,1e-05,789.3761901855469,False,Not Completed,NA
128,64,64,32,256,16,256,5e-05,42.333221435546875,False,Not Completed,NA
128,32,256,256,16,64,64,0.0001,565.3683776855469,False,Not Completed,NA
128,64,32,256,64,16,8,5e-05,329.3058776855469,False,Not Completed,NA
128,64,128,128,32,64,32,5e-05,201.40744018554688,False,Not Completed,NA
128,16,8,128,32,16,64,0.0001,7.085174560546875,False,Not Completed,NA
128,64,256,64,16,64,16,5e-05,101.24728393554688,False,Not Completed,NA
128,16,256,128,32,16,16,0.0001,148.80197143554688,False,Not Completed,NA
128,32,8,128,64,128,128,1e-05,21.399627685546875,True,Completed,0.014175638517675301
128,16,16,256,8,128,256,1e-05,38.244354248046875,True,Completed,0.01264255625816683
128,64,128,128,16,128,16,1e-05,197.38400268554688,False,Not Completed,NA
128,64,128,128,16,128,256,0.0001,197.50119018554688,False,Not Completed,NA
128,16,128,128,32,128,32,0.0001,75.65353393554688,False,Not Completed,NA
128,16,16,256,16,16,64,1e-05,38.557830810546875,False,Not Completed,NA
128,64,16,64,256,16,32,5e-05,70.19650268554688,False,Not Completed,NA
128,32,128,32,32,32,16,1e-05,10.357635498046875,False,Not Completed,NA
128,16,32,32,256,8,16,5e-05,5.732635498046875,False,Not Completed,NA
128,64,32,128,256,64,128,1e-05,160.64181518554688,True,Completed,0.01357073043861116
128,32,8,64,256,64,32,0.0001,11.159393310546875,False,Not Completed,NA
128,16,16,256,16,64,32,1e-05,38.526580810546875,False,Not Completed,NA
128,64,16,64,8,16,256,1e-05,66.34591674804688,False,Not Completed,NA
128,16,128,32,32,16,128,5e-05,6.925994873046875,False,Not Completed,NA
128,16,256,256,8,128,128,1e-05,529.8527526855469,False,Not Completed,NA
128,32,16,32,256,16,64,0.0001,6.617401123046875,False,Not Completed,NA
128,32,256,256,64,8,16,1e-05,613.4152526855469,False,Not Completed,NA
128,32,16,128,128,8,32,5e-05,28.434783935546875,False,Not Completed,NA
128,64,8,64,16,32,8,5e-05,65.25021362304688,False,Not Completed,NA
128,64,16,64,32,16,8,5e-05,66.66329956054688,False,Not Completed,NA
128,64,16,32,8,32,128,5e-05,32.650604248046875,False,Not Completed,NA
128,16,32,64,64,16,128,5e-05,7.397674560546875,False,Not Completed,NA
128,16,256,64,256,16,32,1e-05,98.84298706054688,False,Not Completed,NA
128,32,128,32,64,8,16,1e-05,12.388885498046875,False,Not Completed,NA
128,64,16,128,128,8,32,0.0001,140.40744018554688,False,Not Completed,NA
128,32,16,256,128,8,256,1e-05,73.32150268554688,True,Completed,0.009816511146103343
128,64,64,32,256,32,16,5e-05,42.303924560546875,False,Not Completed,NA
128,16,128,16,64,16,16,5e-05,3.501678466796875,True,Completed,0.01187536281455929
128,16,32,128,16,16,128,5e-05,19.829315185546875,True,Completed,0.013181402930058539
128,32,32,256,16,16,16,0.0001,99.35665893554688,False,Not Completed,NA
128,32,64,128,256,32,16,5e-05,80.95822143554688,False,Not Completed,NA
128,64,128,256,256,128,32,5e-05,643.2511901855469,False,Not Completed,NA
128,64,128,16,16,16,32,1e-05,17.675018310546875,False,Not Completed,NA
128,16,256,16,256,16,32,0.0001,19.080780029296875,False,Not Completed,NA
128,16,64,32,64,8,256,1e-05,4.800994873046875,False,Not Completed,NA
128,64,8,64,8,32,256,5e-05,65.24777221679688,False,Not Completed,NA
128,32,256,256,32,128,64,0.0001,581.3996276855469,False,Not Completed,NA
128,64,64,16,8,16,32,5e-05,16.717987060546875,False,Not Completed,NA
128,64,32,16,128,16,128,1e-05,17.341033935546875,False,Not Completed,NA
128,32,256,128,32,16,64,0.0001,162.60665893554688,False,Not Completed,NA
128,16,8,256,128,8,256,0.0001,25.610565185546875,True,Completed,0.012139063716555635
